Date	Selector	Selector name	Issues opened	Issues closed	Pull requests opened	Pull requests closed	Pull requests merged	Comments	Commits	Releases	Contributors
2021-12-31	all	Total	694	0	1012	0	0	2384	3293	15	87
2021-12-31	team:monarch-ontology-team	Internal	351	0	950	0	0	2031	3175	15	14
2021-12-31	!team:monarch-ontology-team	External	343	0	62	0	0	353	118	0	73
