Date	Selector	Selector name	Issues opened	Issues closed	Pull requests opened	Pull requests closed	Pull requests merged	Comments	Commits	Releases	Contributors
2022-12-31	all	Total	535	639	970	1015	898	1877	2246	12	94
2022-12-31	team:monarch-ontology-team	Internal	228	584	680	956	863	1336	1863	8	14
2022-12-31	!team:monarch-ontology-team	External	307	55	290	59	35	541	383	4	80
