Date	Selector	Selector name	Issues opened	Issues closed	Pull requests opened	Pull requests closed	Pull requests merged	Comments	Commits	Releases	Contributors
2024-12-31	all	Total	642	653	787	782	667	2024	689	12	111
2024-12-31	team:monarch-ontology-team	Internal	222	642	715	780	667	1686	615	12	16
2024-12-31	!team:monarch-ontology-team	External	420	11	72	2	0	338	74	0	95
