Date	Selector	Selector name	Issues opened	Issues closed	Pull requests opened	Pull requests closed	Pull requests merged	Comments	Commits	Releases	Contributors
2019-12-31	all	Total	220	0	236	0	0	948	805	9	63
2019-12-31	team:monarch-ontology-team	Internal	103	0	232	0	0	718	796	9	11
2019-12-31	!team:monarch-ontology-team	External	117	0	4	0	0	230	9	0	52
