Date	Selector	Selector name	Issues opened	Issues closed	Pull requests opened	Pull requests closed	Pull requests merged	Comments	Commits	Releases	Contributors
2018-12-31	all	Total	419	0	134	0	0	717	1260	23	56
2018-12-31	team:monarch-ontology-team	Internal	301	0	133	0	0	604	1185	23	9
2018-12-31	!team:monarch-ontology-team	External	118	0	1	0	0	113	75	0	47
