Date	Selector	Selector name	Issues opened	Issues closed	Pull requests opened	Pull requests closed	Pull requests merged	Comments	Commits	Releases	Contributors
2017-12-31	all	Total	40	0	10	0	0	52	534	3	9
2017-12-31	team:monarch-ontology-team	Internal	36	0	10	0	0	50	534	3	5
2017-12-31	!team:monarch-ontology-team	External	4	0	0	0	0	2	0	0	4
